사건번호,사유
2011도7456,검색 정확일치 없음
2011두11280,검색 정확일치 없음
2011두11310463,검색 정확일치 없음
2011두13392934,검색 정확일치 없음
2011두14692,검색 정확일치 없음
2011두15404606,검색 정확일치 없음
2011두17745,검색 정확일치 없음
2011두17745845,검색 정확일치 없음
2011두17843,검색 정확일치 없음
2011두20192,검색 정확일치 없음
2011두20208,검색 정확일치 없음
2011두20406670,검색 정확일치 없음
2011두20406672,검색 정확일치 없음
2011두2132,검색 정확일치 없음
2011두2306,검색 정확일치 없음
2011두23061,검색 정확일치 없음
2011두24040,검색 정확일치 없음
2011두24040821,검색 정확일치 없음
2011두25166,검색 정확일치 없음
2011두25661902,검색 정확일치 없음
2011두27843,검색 정확일치 없음
2011두29823,검색 정확일치 없음
2011두30069484,검색 정확일치 없음
2011두31505,검색 정확일치 없음
2011두31505481,검색 정확일치 없음
2011두32690,검색 정확일치 없음
2011두3937,검색 정확일치 없음
2011두3944893,검색 정확일치 없음
2011두4282393,검색 정확일치 없음
2011두5391877,검색 정확일치 없음
2011두7076863,검색 정확일치 없음
2011두7526,검색 정확일치 없음
2011헌마338622,검색 정확일치 없음
2012구합12655,검색 정확일치 없음
2012구합12815,검색 정확일치 없음
2012구합14637,검색 정확일치 없음
2012구합15883,검색 정확일치 없음
2012구합23617,검색 정확일치 없음
2012구합24344,검색 정확일치 없음
2012구합2634,검색 정확일치 없음
2012구합270,검색 정확일치 없음
2012구합28346,검색 정확일치 없음
2012구합30738,검색 정확일치 없음
2012구합39827,검색 정확일치 없음
2012구합41134,검색 정확일치 없음
2012구합42779,검색 정확일치 없음
2012구합5053,검색 정확일치 없음
2012구합6933,검색 정확일치 없음
2012구합8847,검색 정확일치 없음
2012구합884717,검색 정확일치 없음
2012나10375,검색 정확일치 없음
2012나21609,검색 정확일치 없음
2012나23773,검색 정확일치 없음
2012나3198,검색 정확일치 없음
2012나4252,검색 정확일치 없음
2012나55091,검색 정확일치 없음
2012나61324,검색 정확일치 없음
2012나6377,검색 정확일치 없음
2012나7401,검색 정확일치 없음
2012나92571,검색 정확일치 없음
2012나991,검색 정확일치 없음
2012누11777,검색 정확일치 없음
2012누166,검색 정확일치 없음
2012누19450,검색 정확일치 없음
2012누22173,검색 정확일치 없음
2012누25417,검색 정확일치 없음
2012누28522,검색 정확일치 없음
2012누34497,검색 정확일치 없음
2012누34756,검색 정확일치 없음
2012누36653,검색 정확일치 없음
2012누623,검색 정확일치 없음
2012누883,검색 정확일치 없음
2012다107334,검색 정확일치 없음
2012다10733418,검색 정확일치 없음
2012다108139,검색 정확일치 없음
2012다108139874,검색 정확일치 없음
2012다10980,검색 정확일치 없음
2012다118655,검색 정확일치 없음
2012다119351,검색 정확일치 없음
2012다13491,검색 정확일치 없음
2012다16871,검색 정확일치 없음
2012다17936,검색 정확일치 없음
2012다179368,검색 정확일치 없음
2012다28813,검색 정확일치 없음
