doc_id,source,case_no,case_src,doctype,category,category_src,post_id,title,gate,bundled
output_법원 노동판례/근로기준/2018다262653_사립대학교 임금체계에 관한 법리.md,crawl,2018다262653,meta,prec,근로기준,folder,,사립대학교 임금체계에 관한 법리,verbatim,1
output_법원 노동판례/근로기준/2018다263519_사무장 병원에서의 임금 및 퇴직금 지급의무 주체 판단 사례.md,crawl,2018다263519,meta,prec,근로기준,folder,,사무장 병원에서의 임금 및 퇴직금 지급의무 주체 판단 사례,verbatim,1
output_법원 노동판례/근로기준/2018다268811_재해를 당한 선원의 승선평균임금 산정 방법.md,crawl,2018다268811,meta,prec,근로기준,folder,,재해를 당한 선원의 승선평균임금 산정 방법,verbatim,1
output_법원 노동판례/근로기준/2018다270876_사용자의 보호의무 위반 손해배상의 소멸시효는 10년.md,crawl,2018다270876,meta,prec,근로기준,folder,,사용자의 보호의무 위반 손해배상의 소멸시효는 10년,verbatim,1
output_법원 노동판례/근로기준/2018다272698_대학교원 강의 배제에 대한 위자료 지급 인정 사례.md,crawl,2018다272698,meta,prec,근로기준,folder,,대학교원 강의 배제에 대한 위자료 지급 인정 사례,verbatim,1
output_법원 노동판례/근로기준/2018다275925_정년후 재고용 기대권 인정 사례.md,crawl,2018다275925,meta,prec,근로기준,folder,,정년후 재고용 기대권 인정 사례,verbatim,1
output_법원 노동판례/근로기준/2018다277570_근로기준법상 근로자 판단 기준.md,crawl,2018다277570,meta,prec,근로기준,folder,,근로기준법상 근로자 판단 기준,verbatim,1
output_법원 노동판례/근로기준/2018다283926_통상임금 제외 합의 무효 인정 사례.md,crawl,2018다283926,meta,prec,근로기준,folder,,통상임금 제외 합의 무효 인정 사례,verbatim,1
output_법원 노동판례/근로기준/2018다285106_근로자들 싸움에 대한 사용자의 손해배상책임 인정 사례.md,crawl,2018다285106,meta,prec,근로기준,folder,,근로자들 싸움에 대한 사용자의 손해배상책임 인정 사례,verbatim,1
output_법원 노동판례/근로기준/2018다286390_부당해고소송의 화해권고결정금액은 비과세소득.md,crawl,2018다286390,meta,prec,근로기준,folder,,부당해고소송의 화해권고결정금액은 비과세소득,verbatim,1
output_법원 노동판례/근로기준/2018다288662_근로자의 작업중지권에 관한 법리.md,crawl,2018다288662,meta,prec,근로기준,folder,,근로자의 작업중지권에 관한 법리,verbatim,1
output_법원 노동판례/근로기준/2018다290436_이사의 보수에 관한 법리.md,crawl,2018다290436,meta,prec,근로기준,folder,,이사의 보수에 관한 법리,verbatim,1
output_법원 노동판례/근로기준/2018다292418_다른 직장에서 겸직을 한 채권추심원의 근로자 지위 인정 사례.md,crawl,2018다292418,meta,prec,근로기준,folder,,다른 직장에서 겸직을 한 채권추심원의 근로자 지위 인정 사례,verbatim,1
output_법원 노동판례/근로기준/2018다301527_특별퇴직자 재채용 규정의 효력에 관한 법리.md,crawl,2018다301527,meta,prec,근로기준,folder,,특별퇴직자 재채용 규정의 효력에 관한 법리,verbatim,1
output_법원 노동판례/근로기준/2018다303417_상여금의 지급일 현재 재직자 조건에 관한 법리.md,crawl,2018다303417,meta,prec,근로기준,folder,,상여금의 지급일 현재 재직자 조건에 관한 법리,verbatim,1
output_법원 노동판례/근로기준/2018도10353_산업안전보건법 제24조제1항 위반 및 업무상과실치사 인정 사례.md,crawl,2018도10353,meta,prec,근로기준,folder,,산업안전보건법 제24조제1항 위반 및 업무상과실치사 인정 사례,verbatim,1
output_법원 노동판례/근로기준/2018도1917_CCTV 설치 정당성 부정 사례.md,crawl,2018도1917,meta,prec,근로기준,folder,,CCTV 설치 정당성 부정 사례,verbatim,1
output_법원 노동판례/근로기준/2018도2720_상위 수급인에 대한 처벌 불원 의사표시의 효력 범위.md,crawl,2018도2720,meta,prec,근로기준,folder,,상위 수급인에 대한 처벌 불원 의사표시의 효력 범위,verbatim,1
output_법원 노동판례/근로기준/2018도3690_취업 자격 없는 외국인을 파견받은 사용사업주의 책임.md,crawl,2018도3690,meta,prec,근로기준,folder,,취업 자격 없는 외국인을 파견받은 사용사업주의 책임,verbatim,1
output_법원 노동판례/근로기준/2018도965_포괄산정임금제의 최저임금법 위반 여부 판단에 관한 법리.md,crawl,2018도965,meta,prec,근로기준,folder,,포괄산정임금제의 최저임금법 위반 여부 판단에 관한 법리,verbatim,1
output_법원 노동판례/근로기준/2018두38000_주민자치센터 자원봉사자의 근로자 지위 인정 사례.md,crawl,2018두38000,meta,prec,근로기준,folder,,주민자치센터 자원봉사자의 근로자 지위 인정 사례,verbatim,1
output_법원 노동판례/근로기준/2018두47264_전원합의체판결 다수의견 - 육아휴직급여 신청기간은 강행규정.md,crawl,2018두47264,meta,prec,근로기준,folder,,전원합의체판결 다수의견 - 육아휴직급여 신청기간은 강행규정,editorial,0
output_법원 노동판례/근로기준/2018두55272_대구경북과학기술원의 직급정년은 무효.md,crawl,2018두55272,meta,prec,근로기준,folder,,대구경북과학기술원의 직급정년은 무효,editorial,0
output_법원 노동판례/근로기준/2018두55715_형사상 무죄 불구 해임처분 정당성 인정 사례.md,crawl,2018두55715,meta,prec,근로기준,folder,,형사상 무죄 불구 해임처분 정당성 인정 사례,verbatim,1
output_법원 노동판례/근로기준/2018두63143_고용촉진지원금 지급 대상 부정 사례.md,crawl,2018두63143,meta,prec,근로기준,folder,,고용촉진지원금 지급 대상 부정 사례,verbatim,1
output_법원 노동판례/근로기준/2018두63235_고용보험 가입 대상 공무원의 가입 시기에 관한 법리.md,crawl,2018두63235,meta,prec,근로기준,folder,,고용보험 가입 대상 공무원의 가입 시기에 관한 법리,verbatim,1
output_법원 노동판례/근로기준/2019다200737_임금최우선변제권은 별제권 행사에 따른 경매절차에서도 인정.md,crawl,2019다200737,meta,prec,근로기준,folder,,임금최우선변제권은 별제권 행사에 따른 경매절차에서도 인정,verbatim,1
